,variety
Chardonnay,14482
Pinot Noir,14291
Cabernet Sauvignon,12800
Red Blend,10062
Bordeaux-style Red Blend,7347
Sauvignon Blanc,6320
Syrah,5825
Riesling,5524
Merlot,5070
Zinfandel,3799
Sangiovese,3345
Malbec,3208
White Blend,2824
Rosé,2817
Tempranillo,2556
Nebbiolo,2241
Portuguese Red,2216
Sparkling Blend,2004
Shiraz,1970
"Corvina, Rondinella, Molinara",1682
Rhône-style Red Blend,1505
Pinot Gris,1365
Barbera,1365
Cabernet Franc,1363
Sangiovese Grosso,1346
Pinot Grigio,1305
Viognier,1263
Bordeaux-style White Blend,1261
Champagne Blend,1238
Port,1058
Grüner Veltliner,1042
Gewürztraminer,982
Portuguese White,941
Petite Sirah,897
Carmenère,761
Tempranillo Blend,756
Chenin Blanc,746
Glera,622
Grenache,603
Prosecco,594
Albariño,537
Gamay,535
Pinot Blanc,470
Nero d'Avola,458
Moscato,430
Rhône-style White Blend,409
Garganega,402
Garnacha,401
Torrontés,367
Dolcetto,358
Montepulciano,329
Meritage,317
Aglianico,317
Verdejo,316
Cabernet Blend,305
Primitivo,273
Sauvignon,261
Cabernet Sauvignon-Merlot,243
Vermentino,232
Blaufränkisch,227
Tinta de Toro,221
Zweigelt,219
Sémillon,216
Petit Verdot,206
Pinotage,200
Roussanne,182
Touriga Nacional,180
Mourvèdre,174
Muscat,168
Bonarda,152
G-S-M,151
Cabernet Sauvignon-Syrah,151
Grillo,150
Monastrell,150
Fiano,149
Mencía,148
Tannat,140
Friulano,137
Pinot Nero,133
Marsanne,128
Pinot Bianco,126
Agiorgitiko,120
Sagrantino,113
Fumé Blanc,110
Viura,110
Malbec-Merlot,109
Sherry,103
Godello,103
St. Laurent,102
Melon,99
Prugnolo Gentile,99
Shiraz-Cabernet Sauvignon,97
Greco,95
Shiraz-Viognier,91
Falanghina,86
Semillon-Sauvignon Blanc,85
Tempranillo-Cabernet Sauvignon,85
Cabernet Sauvignon-Shiraz,84
Cortese,82
Merlot-Cabernet Sauvignon,82
Tinto del Pais,82
Negroamaro,82
Grenache Blanc,78
Alvarinho,77
Nerello Mascalese,76
Tinto Fino,75
Chardonnay-Viognier,75
Turbiana,75
Carignan,74
Vernaccia,74
Tokaji,73
Arinto,72
Petite Verdot,72
Verdelho,69
Austrian Red Blend,67
Assyrtico,67
Carignano,66
Arneis,64
Grenache-Syrah,64
Sauvignon Blanc-Semillon,63
Xinomavro,61
Trebbiano,61
Ribolla Gialla,61
Lambrusco,60
Insolia,60
Tempranillo-Garnacha,60
Malbec-Cabernet Sauvignon,58
Cabernet Sauvignon-Carmenère,58
Weissburgunder,56
Portuguese Sparkling,56
Silvaner,55
Muscat Canelli,55
Cabernet Sauvignon-Malbec,55
Syrah-Cabernet,54
Spätburgunder,54
Pedro Ximénez,54
Verdicchio,54
Cabernet Merlot,52
Alsace white blend,52
Vidal Blanc,51
Loureiro,48
Austrian white blend,47
Syrah-Grenache,47
Petit Manseng,47
Cabernet Sauvignon-Cabernet Franc,46
Sylvaner,45
Moschofilero,44
Malvasia,44
Cannonau,43
Alicante Bouschet,42
Moscatel,42
Charbono,40
Traminer,40
Chenin Blanc-Chardonnay,40
Tocai Friulano,39
Lagrein,38
Claret,37
Marsanne-Roussanne,37
Castelão,37
Tannat-Cabernet,36
Zibibbo,35
Frappato,34
Pecorino,33
White Riesling,33
Furmint,33
Roditis,32
Rosato,32
Catarratto,31
Graciano,31
Fernão Pires,31
Inzolia,30
Shiraz-Grenache,30
Orange Muscat,30
Malvasia Bianca,30
Aligoté,30
Lemberger,30
Müller-Thurgau,29
Picolit,29
Welschriesling,29
Scheurebe,28
Touriga Nacional-Cabernet Sauvignon,28
Teroldego,27
Piedirosso,27
Xarel-lo,26
Cinsault,26
Gelber Muskateller,26
Carignane,26
Verdejo-Viura,25
Palomino,25
Brachetto,25
Provence red blend,25
Tempranillo-Shiraz,23
Carricante,23
Rosado,23
Prieto Picudo,22
Norton,22
Baga,22
Vignoles,22
Colombard,22
Carmenère-Cabernet Sauvignon,22
Merlot-Cabernet Franc,21
Rkatsiteli,21
Gros and Petit Manseng,20
Cabernet,20
Nero di Troia,20
Passerina,20
Raboso,20
Garnacha-Syrah,20
Garnacha Blanca,19
Colombard-Sauvignon Blanc,19
Gros Manseng,19
Hondarrabi Zuri,19
Pinot Meunier,19
Alfrocheiro,18
Cesanese d'Affile,18
Saperavi,18
Pallagrello,18
Viognier-Roussanne,18
Malbec-Syrah,18
Encruzado,18
Syrah-Cabernet Sauvignon,18
Tempranillo-Merlot,18
Albana,17
Moscato Giallo,17
Coda di Volpe,17
Tokay,17
Muskat Ottonel,17
Touriga Nacional Blend,17
Corvina,17
Moscadello,17
Auxerrois,17
Bobal,16
Semillon-Chardonnay,16
Chambourcin,16
Counoise,16
Muscat Blanc,16
Plavac Mali,16
Trebbiano di Lugana,16
Madeira Blend,16
Macabeo,16
Antão Vaz,16
Syrah-Viognier,16
Grauburgunder,16
Kekfrankos,16
Roter Veltliner,15
Tinta Roriz,15
Aragonês,15
Merlot-Cabernet,15
Merlot-Malbec,15
Johannisberg Riesling,15
Perricone,14
Mavrodaphne,14
Trincadeira,14
Ugni Blanc-Colombard,14
Sauvignon Gris,14
Syrah-Petite Sirah,14
Uva di Troia,14
Monastrell-Syrah,13
Black Muscat,13
Malvasia Istriana,13
Grecanico,13
Gaglioppo,13
Bical,13
Negrette,13
Cabernet Sauvignon-Sangiovese,13
Gamay Noir,13
Kerner,13
Grenache-Shiraz,12
Ruché,12
Cabernet-Syrah,12
Rotgipfler,12
Chardonnay-Semillon,12
Gewürztraminer-Riesling,12
Sauvignon Blanc-Chardonnay,11
Viura-Chardonnay,11
Roussanne-Viognier,11
Feteasca Neagra,11
Zierfandler,11
Monica,11
Chardonnay-Sauvignon,11
Aleatico,11
Teran,11
Vranec,11
Traminette,11
Tinta Fina,11
Nuragus,10
Alicante,10
Cabernet Franc-Merlot,10
Muscadel,10
Refosco,10
Pinot Auxerrois,10
Viognier-Chardonnay,10
Touriga Franca,10
Verduzzo Friulano ,10
Carmenère-Syrah,10
Muscat Blanc à Petit Grain,9
Grenache-Carignan,9
Mataro,9
Cabernet Sauvignon-Tempranillo,9
Aragonez,9
Chardonnay-Pinot Blanc,9
Portuguese Rosé,9
Malvasia Fina,9
Tannat-Cabernet Franc,9
Tempranillo Blanco,9
Chasselas,9
Grechetto,9
Baco Noir,9
Verduzzo,9
Susumaniello,8
Grenache Blend,8
Dornfelder,8
Siria,8
Assyrtiko,8
Savatiano,8
Malbec-Tannat,8
Picpoul,8
Chenin Blanc-Viognier,8
Shiraz-Tempranillo,8
Trepat,8
Ciliegiolo,7
Mauzac,7
Chenin Blanc-Sauvignon Blanc,7
Roter Traminer,7
Bovale,7
Schiava,7
Posip,7
Malbec-Tempranillo,7
Viognier-Marsanne,7
Mission,7
Bastardo,7
Mondeuse,7
Blauer Portugieser,7
Carignan-Grenache,7
Pansa Blanca,6
Shiraz-Malbec,6
Vilana,6
Airen,6
Neuburger,6
Seyval Blanc,6
Elbling,6
Savagnin,6
Kalecik Karasi,6
Casavecchia,6
Syrah-Tempranillo,6
Debit,6
Cabernet Franc-Carmenère,6
Mansois,6
Verdejo-Sauvignon Blanc,6
Apple,6
Malagousia,6
Shiraz-Pinotage,6
Tannat-Merlot,5
Lacrima,5
Maturana,5
Nasco,5
Durif,5
Merlot-Syrah,5
Duras,5
Symphony,5
Jaen,5
Malbec-Bonarda,5
Angevine,5
Petroulianos,5
Vinhão,5
Syrah-Mourvèdre,5
Xinisteri,5
Verdeca,5
Sauvignon Blanc-Verdejo,5
Pinot Noir-Gamay,5
Garnacha-Graciano,5
Mantonico,5
Chardonnay-Sauvignon Blanc,5
Moscatel Roxo,5
Robola,5
Malagouzia,5
Provence white blend,5
Malvasia Nera,5
Garnacha-Monastrell,5
Nerello Cappuccio,4
Nielluciu,4
Sangiovese-Syrah,4
Pinot-Chardonnay,4
Morio Muskat,4
Ansonica,4
Black Monukka,4
Királyleányka,4
Cserszegi Fűszeres,4
Favorita,4
Shiraz-Mourvèdre,4
Muscat d'Alexandrie,4
Hárslevelü,4
Muskateller,4
Meoru,4
Rolle,4
Fer Servadou,4
Greco Bianco,4
Macabeo-Chardonnay,4
Cabernet Sauvignon Grenache,4
Tokay Pinot Gris,4
Cabernet Sauvignon and Tinta Roriz,4
Pineau d'Aunis,4
Okuzgozu,4
White Port,4
Bual,4
Pallagrello Bianco,4
Merlot-Argaman,4
Marzemino,4
Syrah-Grenache-Viognier,4
Vidal,4
Siegerrebe,4
Zlahtina,4
Chardonnay-Albariño,4
Pallagrello Nero,4
Feteasca,4
Trebbiano-Malvasia,4
Mavrud,4
Loin de l'Oeil,4
Cayuga,3
Tocai Rosso,3
Tocai,3
St. George,3
Macabeo-Moscatel,3
Valdiguié,3
Syrah-Cabernet Franc,3
Pinot Blanc-Chardonnay,3
Argaman,3
Pignoletto,3
Sousão,3
Manzoni,3
Nosiola,3
Cabernet Sauvignon-Merlot-Shiraz,3
Zierfandler-Rotgipfler,3
Roussanne-Marsanne,3
Clairette,3
Avesso,3
Sauvignon Blanc-Chenin Blanc,3
Muscadelle,3
Picapoll,3
Vespaiolo,3
Colorino,3
Prié Blanc,3
Cerceal,3
Pugnitello,3
Malvar,3
Garnacha-Cabernet,3
Lambrusco Grasparossa,3
Braucol,3
Cariñena-Garnacha,3
Tamjanika,3
Boğazkere,3
Garnacha-Tempranillo,3
Códega do Larinho,3
Syrah-Merlot,3
Jacquère,3
Alvarinho-Chardonnay,3
Sangiovese-Cabernet Sauvignon,3
Feteascǎ Regalǎ,3
Blatina,3
Steen,3
Prokupac,3
Gelber Traminer,3
Cabernet Franc-Cabernet Sauvignon,3
Tai,3
Edelzwicker,3
Mavroudi,3
Chardonnay Weissburgunder,3
Emir,2
Muscat of Alexandria,2
Morillon,2
Narince,2
Sirica,2
Kadarka,2
Bukettraube,2
Athiri,2
Muscatel,2
Franconia,2
Pelaverga Piccolo,2
Grignolino,2
Teroldego Rotaliano,2
Merlot-Grenache,2
Lambrusco di Sorbara,2
Viognier-Grenache Blanc,2
Grenache-Mourvèdre,2
Yapincak,2
Magliocco,2
Gouveio,2
Cabernet Franc-Tempranillo,2
Crespiello,2
Portuguiser,2
Petite Syrah,2
Tinta Barroca,2
Sercial,2
Kallmet,2
Marsanne-Viognier,2
Garnacha Blend,2
Pigato,2
Gragnano,2
Veltliner,2
Tannat-Syrah,2
Saperavi-Merlot,2
Pinot Noir-Syrah,2
Alvarelhão,2
Shiraz-Merlot,2
Mazuelo,2
Schwartzriesling,2
Roviello,2
Colombard-Ugni Blanc,2
Torbato,2
Merlot-Shiraz,2
Rivaner,2
Malbec Blend,2
País,2
Malmsey,2
Tinta Negra Mole,2
Incrocio Manzoni,2
Malvasia-Viura,2
Muscadet,2
Tintilia ,2
Vermentino Nero,2
Segalin,2
Pinot Blanc-Pinot Noir,2
Žilavka,2
Roussanne-Grenache Blanc,2
Rieslaner,2
Doña Blanca,2
Zelen,2
Koshu,2
Mtsvane,2
Sämling,2
Enantio,2
Roscetto,2
Maréchal Foch,2
Karalahna,2
Madeleine Angevine,2
Pinotage-Merlot,1
Grolleau,1
Asprinio,1
Freisa,1
Moristel,1
Dafni,1
Mandilaria,1
Xynisteri,1
Sideritis,1
Viura-Sauvignon Blanc,1
Chardonnay-Pinot Grigio,1
Sangiovese Cabernet,1
Pinot Grigio-Chardonnay,1
Chardonelle,1
Viognier-Valdiguié,1
Sauvignon Musqué,1
Pardina,1
Chardonnay-Pinot Gris,1
Irsai Oliver,1
Sarba,1
Muscat Hamburg,1
Rabigato,1
Grenache Gris,1
Macabeo-Gewürztraminer,1
Chardonel,1
Terret Blanc,1
Huxelrebe,1
Malvoisie,1
Groppello,1
Parraleta,1
Rufete,1
Malbec-Cabernet Franc,1
Syrah-Malbec,1
Durello,1
Azal,1
Cabernet Franc-Malbec,1
Syrah-Bonarda,1
St. Vincent,1
Sacy,1
Altesse,1
Cabernet Pfeffer,1
Vitovska,1
Pinot Grigio-Sauvignon Blanc,1
Kinali Yapincak,1
Ruen,1
Moscatel de Alejandría,1
Baga-Touriga Nacional,1
Merlot-Petite Verdot,1
Morava,1
Moscofilero,1
Jacquez,1
Cabernet-Shiraz,1
Mavrotragano,1
Ugni Blanc,1
Espadeiro,1
Petit Meslier,1
Catalanesca,1
Forcallà,1
Erbaluce,1
Viura-Verdejo,1
Malvazija,1
Karasakiz,1
Vidadillo,1
Albarín,1
Tinta Francisca,1
Früburgunder,1
Romorantin,1
Torontel,1
Trousseau Gris,1
Chinuri,1
Silvaner-Traminer,1
Cabernet Moravia,1
Pied de Perdrix,1
Sauvignon Blanc-Sauvignon Gris,1
Orangetraube,1
Pinela,1
Listán Negro,1
Rebula,1
Kuntra,1
Sauvignonasse,1
Moscato di Noto,1
Caprettone,1
Tempranillo-Malbec,1
Blauburgunder,1
Carineña,1
Bombino Bianco,1
Moscatel Graúdo,1
Cococciola,1
Garnacha Tintorera,1
Malbec-Petit Verdot,1
Albarossa,1
Aidani,1
Carignan-Syrah,1
Premsal,1
Muskat,1
Syrah-Carignan,1
Carnelian,1
